DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20020828,78.20,78.35,75.70,77.08,4143500,0
20020829,75.75,77.85,75.50,77.38,3495500,0
20020830,77.38,79.10,76.70,77.30,2954900,0
20020902,77.30,77.30,77.30,77.30,0,0
20020903,76.05,76.08,73.50,73.75,5577200,0
20020904,73.76,75.74,73.29,75.50,5045600,0
20020905,73.30,73.93,72.04,72.89,6909700,0
20020906,74.00,74.47,72.18,72.34,4475400,0
20020909,71.70,74.90,71.35,74.30,4582100,0
20020910,74.25,74.25,73.11,73.41,2991500,0
20020911,76.42,76.42,73.45,73.69,2846800,0
20020912,73.15,73.48,72.06,72.20,3501900,0
20020913,72.05,73.30,71.85,73.00,2966400,0
20020916,72.80,72.80,71.82,72.60,2123300,0
20020917,73.37,73.69,70.69,70.87,4470800,0
20020918,69.95,70.99,69.10,70.41,5319900,0
20020919,69.39,69.39,67.10,67.15,5915900,0
20020920,67.35,68.19,66.30,67.36,5368900,0
20020923,67.37,67.37,64.50,65.67,6529800,0
20020924,65.67,68.50,65.67,66.31,7433100,0
20020925,67.30,67.45,64.50,67.45,6694400,0
20020926,67.45,68.49,66.60,68.04,4642500,0
20020927,67.54,68.85,66.00,66.13,4572100,0
20020930,65.96,66.74,64.49,66.03,6144000,0
20021001,66.56,68.80,65.14,68.45,5360600,0
20021002,67.83,68.00,65.40,65.55,6278300,0
20021003,65.41,65.41,62.75,62.90,7416800,0
20021004,63.25,63.86,61.17,62.05,6333700,0
20021007,61.52,62.25,59.40,59.53,5592000,0
20021008,60.45,62.50,58.81,61.60,6057900,0
20021009,61.61,61.61,58.90,59.28,6191600,0
20021010,59.28,61.64,58.65,61.08,6475700,0
20021011,62.70,65.14,61.09,64.20,6274500,0
20021014,63.50,65.82,63.44,65.30,4502000,0
20021015,68.12,70.11,68.00,70.00,8317500,0
20021016,69.00,69.22,67.50,68.00,6335600,0
20021017,70.29,72.48,70.26,72.48,7516700,0
20021018,70.77,72.35,70.02,70.55,6317300,0
20021021,70.01,74.84,69.42,74.70,8014300,0
20021022,74.71,74.71,72.15,72.50,4938500,0
20021023,71.85,74.31,71.31,74.27,4796100,0
20021024,74.27,74.90,71.94,72.50,4140800,0
20021025,72.75,74.25,72.00,73.99,3818800,0
20021028,74.90,75.26,73.22,73.58,3243200,0
20021029,73.49,73.69,71.20,72.37,6342600,0
20021030,72.37,72.94,71.51,72.36,4153700,0
20021031,72.36,72.75,71.51,71.52,2794300,0
20021101,71.60,74.24,71.06,73.53,3824800,0
20021104,74.98,78.00,73.45,75.96,6327600,0
20021105,75.96,76.98,75.40,76.74,3349200,0
20021106,76.74,77.10,74.79,76.50,5727500,0
20021107,78.50,78.50,73.60,73.83,7213600,0
20021108,74.10,74.94,72.83,72.96,2687200,0
20021111,73.09,73.10,71.31,71.78,3174200,0
20021112,71.79,73.08,71.28,72.07,3826400,0
20021113,72.07,73.00,71.20,72.49,4102500,0
20021114,73.43,75.15,73.43,74.99,3402000,0
20021115,74.99,75.64,73.48,75.25,4050100,0
20021118,75.70,76.59,75.00,75.42,4214100,0
20021119,75.43,76.40,74.52,75.08,2418200,0
20021120,75.09,77.90,74.53,77.41,3688000,0
20021121,78.80,81.00,78.65,79.95,6815800,0
20021122,79.01,80.28,79.00,79.11,3367000,0
20021125,79.12,79.90,77.78,79.00,3833700,0
20021126,79.01,79.01,76.61,76.83,3369000,0
20021127,77.47,80.35,77.47,79.64,3663500,0
20021128,79.64,79.64,79.64,79.64,0,0
20021129,79.65,80.00,78.81,78.87,1176800,0
20021202,78.88,80.90,78.18,78.78,3564100,0
20021203,78.79,78.89,77.69,78.50,3494800,0
20021204,78.51,78.51,75.50,76.35,4968600,0
20021205,75.85,76.32,74.05,74.45,3143200,0
20021206,73.10,75.20,73.10,74.50,4212500,0
20021207,74.50,74.50,74.50,74.50,0,0
20021208,74.50,74.50,74.50,74.50,0,0
20021209,74.51,74.51,72.53,73.45,3091100,0
20021210,73.51,74.20,72.62,74.00,3434700,0
20021211,74.01,74.45,72.86,73.47,2565700,0
20021212,73.64,74.69,73.21,74.23,2524600,0
20021213,73.70,73.76,72.69,73.10,2364300,0
20021216,73.10,74.78,73.04,74.53,3344300,0
20021217,74.15,75.69,74.15,74.69,2718900,0
20021218,74.10,74.78,72.70,73.70,2967700,0
20021219,73.70,74.09,70.05,70.30,7736800,0
20021220,70.56,72.40,70.50,71.86,6786400,0
20021223,71.04,71.56,70.36,70.65,2708200,0
20021224,70.66,70.66,69.06,69.37,2116300,0
20021226,69.80,70.64,69.33,69.55,2055500,0
20021227,69.56,69.56,67.52,67.92,2553800,0
20021230,68.25,68.56,67.00,68.14,3151700,0
20021231,68.20,68.45,67.23,68.10,2282100,0
20030102,68.10,70.80,68.00,70.55,3996600,0
20030103,69.66,70.60,69.62,70.38,2333900,0
20030106,70.01,73.44,70.00,73.00,4303100,0
20030107,72.10,73.48,71.50,72.70,4650700,0
20030108,72.71,72.77,70.68,70.92,3262300,0
20030109,70.93,73.80,70.93,73.72,3874500,0
20030110,72.90,75.75,72.81,74.92,5006300,0
20030113,75.20,75.70,74.20,74.42,3067700,0
